Institute_Name,Tier
Acharya Nagarjuna University,Tier 1
Alagappa University,Tier 1
Aligarh Muslim University AMU,Tier 1
All India Institute of Medical Sciences (AIIMS) Bhopal,Tier 1
All India Institute of Medical Sciences (AIIMS) Bhubaneswar,Tier 1
All India Institute of Medical Sciences (AIIMS) Jodhpur,Tier 1
All India Institute of Medical Sciences (AIIMS) New Delhi,Tier 1
All India Institute of Medical Sciences (AIIMS) Patna,Tier 1
All India Institute of Medical Sciences (AIIMS) Raipur,Tier 1
All India Institute of Medical Sciences (AIIMS) Rishikesh,Tier 1
"Amrita Vishwa Vidyapeetham, Coimbatore",Tier 1
Andhra University Waltair Visakhapatnam,Tier 1
Annamalai University,Tier 1
"Anna University, Chennai",Tier 1
"Anna University, Coimbatore",Tier 1
"Anna University, Tiruchirappalli",Tier 1
"Anna University, Tirunelveli",Tier 1
"Babasaheb Bhimrao Ambedkar University, Lucknow",Tier 1
Banaras Hindu University (BHU),Tier 1
Banasthali Vidyapith,Tier 1
Bangalore University (BU),Tier 1
Berhampur University,Tier 1
Bharathiar University,Tier 1
Bharathidasan University,Tier 1
"Bharath Institute of Higher Education and Research (BIHER), Chennai",Tier 1
Bharath Institute of Higher Education and Research (BIHER),Tier 1
Bharati Vidyapeeth,Tier 1
Birla Institute of Technology & Science (BITS Pilani),Tier 1
"B.S. Abdur Rahman Crescent Institute of Science and Technology, Chennai",Tier 1
B.S. Abdur Rahman Crescent Institute of Science and Technology,Tier 1
"Central Institute of Fisheries Education (CIFE), Mumbai",Tier 1
Central Institute of Higher Tibetan Studies (CIHTS),Tier 1
"Central Institute of Technology, Kokrajhar (CITK)",Tier 1
"Centurion University of Technology and Management, Paralakhemundi",Tier 1
Charotar University of Science and Technology (CHARUSAT),Tier 1
Chennai Mathematical Institute (CMI),Tier 1
Chettinad Academy of Research and Education (CARE),Tier 1
"Christ University, Bangalore",Tier 1
"Cochin University of Science and Technology, Kochi",Tier 1
"Datta Meghe Institute of Medical Sciences, Nagpur",Tier 1
"Dayalbagh Educational Institute, Dayalbagh, Agra",Tier 1
"Deen Bandhu Chhotu Ram University of Science and Technology (DCRUST), Murthal",Tier 1
"Devi Ahilya Vishwavidyalaya (DAVV), Indore",Tier 1
Devi Ahilya Vishwavidyalaya (DAVV),Tier 1
"Directorate of Technical Education, Assam",Tier 1
"Dr. Babasaheb Ambedkar Marathwada University (BAMU), Aurangabad",Tier 1
"Dr. D. Y. Patil Vidyapeeth, Pune",Tier 1
"Dr. Hari Singh Gour Vishwavidyalaya, Sagar",Tier 1
"Dr. M.G.R. Educational and Research Institute, Chennai",Tier 1
"Gandhigram Rural Institute (GRI), Dindigul",Tier 1
"Gandhi Institute of Technology and Management - GITAM (Deemed to be University), VisakhapatnamTier 1",
"GLA University, Mathura",Tier 1
"Gokhale Institute of Politics and Economics, Pune",Tier 1
"Gujarat Ayurved University, Jamnagar",Tier 1
"Gujarat Forensic Sciences University, Gandhinagar",Tier 1
"Gujarat National Law University (GNLU), Gandhinagar",Tier 1
"Gujarat Vidyapith, Ahmedabad",Tier 1
"Guru Gobind Singh Indraprastha University, Delhi",Tier 1
"Guru Jambheshwar University of Science and Technology, Hisar",Tier 1
"Guru Nanak Dev University (G.N.D.U.), Amritsar",Tier 1
"Hemchandracharya North Gujarat University (HNGU), Patan",Tier 1
"Hemvati Nandan Bahuguna Garhwal University, Srinagar",Tier 1
"Himachal Pradesh University (HPU), Shimla",Tier 1
"Hindustan Institute of Technology & Science (HITS), Padur",Tier 1
"Homi Bhabha National Institute (HBNI), Mumbai",Tier 1
"ICFAI Foundation for Higher Education, Hyderabad",Tier 1
"Indian Agricultural Research Institute ((IARI), New Delhi",Tier 1
"Indian Institute of Foreign Trade (IIFT), New Delhi",Tier 1
"Indian Institute of Information Technology, Allahabad (IIIT-Allahabad)",Tier 1
"Indian Institute of Information Technology, Design and Manufacturing, Kurnool",Tier 1
Indian Institute of Information Technology Design & Manufacturing Kancheepuram,Tier 1
"Indian Institute of Information Technology, Dharwad",Tier 1
"Indian Institute of Information Technology, Guwahati",Tier 1
"Indian Institute of Information Technology, Kalyani",Tier 1
"Indian Institute of Information Technology, Kota",Tier 1
"Indian Institute of Information Technology, Kottayam",Tier 1
"Indian Institute of Information Technology, Lucknow",Tier 1
"Indian Institute of Information Technology, Nagpur",Tier 1
"Indian Institute of Information Technology, Pune",Tier 1
"Indian Institute of Information Technology, Ranchi",Tier 1
"Indian Institute of Information Technology, Senapati",Tier 1
"Indian Institute of Information Technology, Sonepat",Tier 1
"Indian Institute of Information Technology, Sri City, Chittoor (IIIT Sri City (IIITS))",Tier 1
"Indian Institute of Information Technology, Tiruchirapalli",Tier 1
"Indian Institute of Information Technology, Una (IIIT, Una)",Tier 1
"Indian Institute of Information Technology, Vadodara",Tier 1
"Indian Institute of Science, Bangalore (IISc)",Tier 1
Indian Institute of Technology Bhubaneswar,Tier 1
"Indian Institute of Technology, Bombay",Tier 1
"Indian Institute of Technology, Chennai",Tier 1
"Indian Institute of Technology, Delhi (IIT Delhi)",Tier 1
"Indian Institute of Technology, Dhanbad",Tier 1
Indian Institute of Technology Dharwad,Tier 1
Indian Institute of Technology Gandhinagar,Tier 1
Indian Institute of Technology Goa (IIT Goa),Tier 1
"Indian Institute of Technology, Guwahati (IITG)",Tier 1
Indian Institute of Technology Hyderabad,Tier 1
Indian Institute of Technology (IIT) Bhilai,Tier 1
Indian Institute of Technology Indore,Tier 1
Indian Institute of Technology Jammu (IIT Jammu),Tier 1
"Indian Institute of Technology, Kanpur (IIT Kanpur)",Tier 1
"Indian Institute of Technology, Kharagpur (IIT Kharagpur)",Tier 1
Indian Institute of Technology Mandi (IIT Mandi),Tier 1
Indian Institute of Technology Palakkad,Tier 1
Indian Institute of Technology Patna (IIT Patna or IITP),Tier 1
Indian Institute of Technology Punjab,Tier 1
Indian Institute of Technology Rajasthan,Tier 1
Indian Institute of Technology Roorkee (IIT Roorkee or IITR),Tier 1
Indian Institute of Technology Tirupati,Tier 1
Indian Institute of Technology Varanasi,Tier 1
"Indian Law Institute (ILI), Delhi",Tier 1
"Indian Statistical Institute (ISI), Kolkata",Tier 1
"Indraprastha Institute of Information Technology, Delhi",Tier 1
"Institute of Chemical Technology (ICT), Mumbai",Tier 1
"Institute of Liver and Biliary Sciences (ILBS), New Delhi",Tier 1
"International Institute of Information Technology, Bangalore",Tier 1
"Jadavpur University, Kolkata",Tier 1
"Jain University, Bangalore",Tier 1
"Jain Vishva Bharati Institute (JVBI), Ladnun",Tier 1
"Jamia Hamdard, New Delhi",Tier 1
"Jamia Millia Islamia (JMI), New Delhi",Tier 1
"Janardan Rai nagar Rajasthan Vidyapeeth, Udaipur",Tier 1
Jawaharlal Institute of Postgraduate Medical Education and Research (JIPMER),Tier 1
"Jawaharlal Nehru Centre for Advanced Scientific Research, Bangalore (JNCASR)",Tier 1
Jawaharlal Nehru Technological University Hyderabad (JNTU Hyderabad),Tier 1
Jawaharlal Nehru University (JNU),Tier 1
Jaypee University of Engineering and Technology,Tier 1
"Jiwaji University, Gwalior (JU)",Tier 1
"Kakatiya University, Warangal",Tier 1
"Kalasalingam University, Krishnankoil",Tier 1
Karnataka State Law University (KSLU),Tier 1
Karnatak University,Tier 1
"Krishna Institute of Medical Sciences, Satara",Tier 1
Kurukshetra University,Tier 1
Lakshmibai National Institute of Physical Education (LNIPE),Tier 1
Madurai Kamaraj University (MKU),Tier 1
"Mahatma Gandhi Antarrashtriya Hindi Vishwavidyalaya, Wardha",Tier 1
Mahatma Gandhi Chitrakoot Gramodaya Vishwavidyalaya (MGCGV),Tier 1
"Mahatma Gandhi University, Kerala",Tier 1
Manipur University,Tier 1
"Manipal University, Manipal",Tier 1
Maulana Azad National Institute of Technology Bhopal (M.P) India (MANIT),Tier 1
Maulana Azad National Urdu University,Tier 1
Mizoram University,Tier 1
"Narsee Monjee Institute of Management Studies, Mumbai",Tier 1
"National Academy of Legal Studies and Research University, Hyderabad",Tier 1
"National Institute of Technology, Rourkela (NITR)",Tier 1
"National Law School of India University, Bangalore",Tier 1
"National Law University, Cuttack",Tier 1
"National Law University, Delhi",Tier 1
Nirma University (NU),Tier 1
"NITTE University, Mangalore",Tier 1
Noorul Islam Centre for Higher Education,Tier 1
North Eastern Hill University (NEHU),Tier 1
"North Maharashtra University, Jalgaon",Tier 1
"O.P Jindal Global University, Sonipat",Tier 1
Osmania University,Tier 1
"Padmashree Dt. DY Patil Vidyapeeth, Mumbai",Tier 1
"Pandit Deendayal Petroleum University, Gandhinagar",Tier 1
Pandit Ravishankar Shukla University,Tier 1
Periyar University,Tier 1
Pondicherry University,Tier 1
Pravara Institute of Medical Sciences (Deemed to be University),Tier 1
"Presidency University, Kolkata",Tier 1
Rabindra Bharati University,Tier 1
"Rajiv Gandhi Institute of Petroleum Technology, Jais Amethi (RGIPT)",Tier 1
"Rajiv Gandhi National University of Law, Punjab (RGNUL)",Tier 1
"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal (RGPV)",Tier 1
Rashtrasant Takadoji Maharaj Nagpur University (RTMNU),Tier 1
"Rashtriya Sanskrit Vidyapeeth, Tirupati",Tier 1
Ravenshaw University,Tier 1
Sambalpur University,Tier 1
Sant Gadge Baba Amravati University,Tier 1
Sardar Patel University (SPU),Tier 1
"Sathyabama University, Chennai",Tier 1
Saveetha Institute of Medical and Technical Sciences (SIST),Tier 1
Savitribai Phule Pune University (SPPU),Tier 1
"Shanmugha Arts, Science, Technology & Research Academy (SASTRA)",Tier 1
Shiv Nadar University (SNU),Tier 1
Shivaji University,Tier 1
"Shreemati Nathibai Damodar Thackersey Women's University, Mumbai (SNDT Women's University)",Tier 1
Shri Lal Bahadur Shastri Rashtriya Sanskrit Vidyapeetha,Tier 1
Siksha 'O' Anusandhan (SOA),Tier 1
S.P. Jain School of Global Management,Tier 1
Sree Chitra Tirunal Institute for Medical Sciences and Technology (SCTIMST),Tier 1
"Sri Balaji Vidyapeeth, Pillaiyarkuppam",Tier 1
Sri Chandrasekharendra Saraswathi Viswa Mahavidyalaya (SCSVMV),Tier 1
"Sri Padmavati Mahila Visvavidyalayam SPMVV, Tirupati",Tier 1
Sri Ramachandra University,Tier 1
Sri Siddhartha Academy of Higher Education (SSAHE),Tier 1
Sumandeep Vidyapeeth (Sumandeep Vidyapeeth University),Tier 1
Suresh Gyan Vihar University (SGVU),Tier 1
Swami Vivekananda Yoga Anusandhana Samsthana,Tier 1
Swami Vivekanand Subharti University (SVSU),Tier 1
Symbiosis International University,Tier 1
Tata Institute of Fundamental Research (TIFR),Tier 1
Tata Institute of Social Sciences (TISS),Tier 1
Tezpur University,Tier 1
University of Burdwan,Tier 1
University of Calcutta,Tier 1
University of Calicut,Tier 1
University of Delhi (DU),Tier 1
University of Hyderabad (UoH),Tier 1
University of Jammu,Tier 1
University of Kalyani (KU),Tier 1
University of Kashmir,Tier 1
University of Kerala,Tier 1
University of Madras,Tier 1
University of Mumbai,Tier 1
University of Mysore,Tier 1
University of North Bengal (NBU),Tier 1
University of Rajasthan,Tier 1
Utkal University,Tier 1
Veer Narmad South Gujarat University,Tier 1
Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,Tier 1
Vikram University,Tier 1
"Vignan University, Guntur",Tier 1
VIT (Vellore Institute of Technology),Tier 1
"Yenepoya University, Bangalore",Tier 1
"YMCA University of Science and Technology, Faridabad",Tier 1
AMET (Academy of Maritime Education and Training),Tier 2
Academy of Scientic & Innovative Research (AcSIR),Tier 2
"Acharya N G Ranga Agricultural University, Hyderabad",Tier 2
"Amity University, Jaipur",Tier 2
"Amity University, Noida",Tier 2
Anand Agricultural University,Tier 2
"Atal Bihari Vajpayee Hindi Vishwavidyalaya, Bhopal",Tier 2
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior (ABV-IIITM Gwalior)Tier 2",
"Assam Agricultural University, Jorhat",Tier 2
